timestamp,img_type,model_type,pretrain,loss_function,size_train,size_test,train_loss,train_iou_score,train_f1-score,val_loss,val_iou_score,val_f1-score,test_loss,test_iou_score,test_f1-score
07/08/2020 03:43:41,SAR-Intensity,segmentation-models Unet,efficientnetb0,JaccardLoss,800,80,0.6053137607044644,0.39633071422576904,0.5655712485313416,0.9043034911155701,0.09786081314086914,0.17742763459682465,0.7421290636062622,0.24448184669017792,0.3904768228530884
07/08/2020 03:32:56,PS-RGBNIR,segmentation-models Unet,efficientnetb0,JaccardLoss,800,80,0.347333734565311,0.6532230973243713,0.7899227738380432,0.8492622852325441,0.1607116311788559,0.27468040585517883,0.384737491607666,0.6215509176254272,0.7662427425384521
07/08/2020 03:02:34,SAR-Intensity,segmentation-models Unet,efficientnetb0,JaccardLoss,800,80,0.6053122970792982,0.3963321745395661,0.5655730962753296,0.9039306640625,0.09822377562522888,0.17749114334583282,0.7421272039413452,0.2444843500852585,0.3904804289340973
07/08/2020 02:23:45,SAR-Intensity,segmentation-models Unet,efficientnetb0,JaccardLoss,800,80,0.6528417587280273,0.349097341299057,0.5157810449600221,0.7838993668556213,0.21916508674621585,0.35735735297203064,0.7351592540740967,0.26315605640411377,0.4161384105682373
07/08/2020 02:12:05,PS-RGBNIR,segmentation-models Unet,efficientnetb0,JaccardLoss,800,80,0.2912485784954495,0.7095420956611633,0.829896092414856,0.7909529566764831,0.2179729342460633,0.35508260130882263,0.3896122694015503,0.612127959728241,0.759141743183136
07/08/2020 02:06:03,PS-RGBNIR,segmentation-models Unet,efficientnetb0,JaccardLoss,800,80,0.2912485784954495,0.7095420956611633,0.829896092414856,0.7909529566764831,0.2179729342460633,0.35508260130882263,0.3896122694015503,0.612127959728241,0.759141743183136
07/08/2020 01:15:12,SAR-Intensity,segmentation-models Unet,efficientnetb0,JaccardLoss,800,80,0.6053122917811076,0.3963321149349213,0.5655730962753296,0.9039306640625,0.09822378307580948,0.1774911731481552,0.7421272277832032,0.2444843202829361,0.3904804289340973
07/08/2020 01:13:49,PS-RGBNIR,segmentation-models Unet,efficientnetb0,JaccardLoss,800,80,0.3473352657424079,0.6532216072082521,0.7899224758148193,0.8489072203636171,0.1610734611749649,0.2748025357723236,0.3847383737564087,0.6215499639511108,0.7662425041198729
07/08/2020 01:11:59,SAR-Intensity,segmentation-models Unet,efficientnetb0,JaccardLoss,800,80,0.6053122917811076,0.3963321149349213,0.5655730962753296,0.9039306640625,0.09822378307580948,0.1774911731481552,0.7421272277832032,0.2444843202829361,0.3904804289340973
07/08/2020 01:08:57,PS-RGBNIR,segmentation-models Unet,efficientnetb0,JaccardLoss,800,80,0.3473352657424079,0.6532216072082521,0.7899224758148193,0.8489072203636171,0.1610734611749649,0.2748025357723236,0.3847383737564087,0.6215499639511108,0.7662425041198729
07/07/2020 16:40:52,SAR-Intensity,segmentation-models Unet,efficientnetb0,JaccardLoss,800,80,0.9999999748335944,2.4453020941450628e-08,4.883525761556484e-08,1.0,1.7463863244415734e-08,3.4927612801993746e-08,1.0,7.932896117779364e-09,1.5739514580559444e-08
07/07/2020 16:34:06,PS-RGBNIR,segmentation-models Unet,efficientnetb0,JaccardLoss,800,80,0.2912485811445448,0.7095420956611633,0.8298960328102112,0.7909529209136963,0.21797294914722445,0.35508260130882263,0.3896122455596924,0.612127959728241,0.759141743183136
07/07/2020 12:58:14,SAR-Intensity,segmentation-models Unet,efficientnetb0,JaccardLoss,800,80,0.5219168053732978,0.4799881279468536,0.6455069780349731,0.9158845901489258,0.08595933765172957,0.15791034698486328,0.6891681432724001,0.3085745573043823,0.4713102877140045
07/07/2020 12:51:44,PS-RGBNIR,segmentation-models Unet,efficientnetb0,JaccardLoss,800,80,0.2912485811445448,0.7095420956611633,0.8298960328102112,0.7909529209136963,0.21797294914722445,0.35508260130882263,0.3896122455596924,0.612127959728241,0.759141743183136
07/07/2020 12:51:11,PS-RGBNIR,segmentation-models Unet,efficientnetb0,JaccardLoss,800,80,0.2912485811445448,0.7095420956611633,0.8298960328102112,0.7909529209136963,0.21797294914722445,0.35508260130882263,0.3896122455596924,0.612127959728241,0.759141743183136
07/07/2020 11:40:36,SAR-Intensity,segmentation-models Unet,efficientnetb0,JaccardLoss,800,80,0.3925217747688293,0.6088109016418457,0.7560808062553406,0.8489769101142883,0.15595977008342746,0.26871857047080994,0.6452317357063293,0.35261741280555725,0.5210618376731873
07/07/2020 11:23:23,SAR-Intensity,segmentation-models Unet,efficientnetb0,JaccardLoss,800,80,0.4708840807278951,0.5304275155067444,0.6923540830612183,0.815740990638733,0.1877863556146621,0.3154249489307404,0.6556314826011658,0.3394969403743744,0.5063508152961731
07/07/2020 11:10:14,PS-RGBNIR,segmentation-models Unet,efficientnetb0,JaccardLoss,800,80,0.34733526044421725,0.6532216072082521,0.7899224758148193,0.8489072203636171,0.1610734462738037,0.2748025357723236,0.3847384452819824,0.6215499043464661,0.7662425041198729
07/07/2020 11:06:20,SAR-Intensity,segmentation-models Unet,efficientnetb0,JaccardLoss,800,80,0.4986187524265713,0.5026503205299377,0.6673087477684021,0.862747597694397,0.14021684229373932,0.2451654225587845,0.6653834581375122,0.3312442004680633,0.4972771108150482
07/07/2020 10:52:42,SAR-Intensity,segmentation-models Unet,efficientnetb0,JaccardLoss,800,80,0.5731294671694438,0.4282887578010559,0.5981260538101196,0.8651725292205811,0.13579988479614258,0.23887662589550016,0.6847856640815735,0.3135175406932831,0.4771166741847992
